run_id,phase,created_at,purpose,status,model_name,prompt_tokens,cache_read_tokens,cache_write_tokens,cache_miss_tokens,duration_ms
baseline_2,优化前,2026-09-03 00:34:48.490749,wiki_page_modify,success,qwen3.7-plus,6127,1664,0,4463,10539
baseline_2,优化前,2026-09-03 00:34:55.041938,wiki_page_modify,success,qwen3.7-plus,11881,1664,0,10217,18392
baseline_2,优化前,2026-09-03 00:35:00.407631,wiki_page_modify,success,qwen3.7-plus,13268,1664,0,11604,21149
baseline_2,优化前,2026-09-03 00:35:04.233055,wiki_page_modify,success,qwen3.7-plus,14036,1664,0,12372,27323
baseline_2,优化前,2026-09-03 00:35:15.224051,wiki_page_modify,success,qwen3.7-plus,18989,512,0,18477,67206
baseline_2,优化前,2026-09-03 00:35:34.072982,wiki_page_modify,success,qwen3.7-plus,11344,1152,0,10192,18839
baseline_2,优化前,2026-09-03 00:35:59.610044,wiki_index_intro,success,qwen3.7-plus,337,0,0,337,1667
baseline_3,优化前,2026-09-03 00:44:25.380718,wiki_candidate_slug,success,qwen3.7-plus,17879,16128,0,1751,27627
baseline_3,优化前,2026-09-03 00:44:38.326574,wiki_chunk_citation,success,qwen3.7-plus,7674,512,0,7162,12890
baseline_3,优化前,2026-09-03 00:44:41.696765,wiki_chunk_citation,success,qwen3.7-plus,7515,0,0,7515,16294
baseline_3,优化前,2026-09-03 00:44:42.645304,wiki_chunk_citation,success,qwen3.7-plus,8597,512,0,8085,17243
baseline_3,优化前,2026-09-03 00:44:44.159508,wiki_chunk_citation,success,qwen3.7-plus,8044,512,0,7532,18757
baseline_3,优化前,2026-09-03 00:44:50.420696,wiki_chunk_citation,success,qwen3.7-plus,7409,1152,0,6257,12118
baseline_3,优化前,2026-09-03 00:44:53.971222,wiki_chunk_citation,success,qwen3.7-plus,8111,1152,0,6959,11318
baseline_3,优化前,2026-09-03 00:44:55.949445,wiki_chunk_citation,success,qwen3.7-plus,7829,1152,0,6677,11782
baseline_3,优化前,2026-09-03 00:44:56.52404,wiki_chunk_citation,success,qwen3.7-plus,7593,1152,0,6441,14819
baseline_3,优化前,2026-09-03 00:44:58.308889,wiki_summary,success,qwen3.7-plus,17166,14336,0,2830,32909
baseline_3,优化前,2026-09-03 00:45:02.726893,wiki_chunk_citation,success,qwen3.7-plus,7161,1152,0,6009,12299
baseline_3,优化前,2026-09-03 00:45:12.391695,wiki_taxonomy_plan,success,qwen3.7-plus,1335,0,0,1335,9686
baseline_3,优化前,2026-09-03 00:45:19.574154,wiki_page_modify,success,qwen3.7-plus,6724,512,0,6212,7134
baseline_3,优化前,2026-09-03 00:45:28.543395,wiki_page_modify,success,qwen3.7-plus,7422,1152,0,6270,8962
baseline_3,优化前,2026-09-03 00:45:30.946499,wiki_page_modify,success,qwen3.7-plus,6596,2304,0,4292,11364
baseline_3,优化前,2026-09-03 00:45:31.891875,wiki_page_modify,success,qwen3.7-plus,12329,512,0,11817,19446
baseline_3,优化前,2026-09-03 00:45:32.585186,wiki_page_modify,success,qwen3.7-plus,10603,1152,0,9451,13004
baseline_3,优化前,2026-09-03 00:45:33.371037,wiki_page_modify,success,qwen3.7-plus,7435,2304,0,5131,13789
baseline_3,优化前,2026-09-03 00:45:37.111987,wiki_page_modify,success,qwen3.7-plus,12148,2304,0,9844,17530
baseline_3,优化前,2026-09-03 00:45:37.797458,wiki_page_modify,success,qwen3.7-plus,13279,1152,0,12127,18215
baseline_3,优化前,2026-09-03 00:45:41.998922,wiki_page_modify,success,qwen3.7-plus,14159,2304,0,11855,22405
baseline_3,优化前,2026-09-03 00:45:42.809743,wiki_page_modify,success,qwen3.7-plus,7759,1152,0,6607,14082
baseline_3,优化前,2026-09-03 00:45:47.053653,wiki_page_modify,success,qwen3.7-plus,9202,2304,0,6898,16089
baseline_3,优化前,2026-09-03 00:45:47.339604,wiki_page_modify,success,qwen3.7-plus,15084,1152,0,13932,27790
baseline_3,优化前,2026-09-03 00:45:48.942284,wiki_page_modify,success,qwen3.7-plus,9852,2304,0,7548,16987
baseline_3,优化前,2026-09-03 00:45:51.959006,wiki_page_modify,success,qwen3.7-plus,13033,2304,0,10729,19357
baseline_3,优化前,2026-09-03 00:45:53.771455,wiki_page_modify,success,qwen3.7-plus,14725,2304,0,12421,20390
baseline_3,优化前,2026-09-03 00:46:20.267065,wiki_page_modify,success,qwen3.7-plus,22722,512,0,22210,67891
baseline_3,优化前,2026-09-03 00:46:44.859658,wiki_index_intro,success,qwen3.7-plus,340,0,0,340,1501
baseline_4,优化前,2026-09-03 00:47:54.593037,wiki_candidate_slug,success,qwen3.7-plus,17879,16128,0,1751,26927
baseline_4,优化前,2026-09-03 00:48:08.876099,wiki_chunk_citation,success,qwen3.7-plus,7640,512,0,7128,14226
baseline_4,优化前,2026-09-03 00:48:10.030102,wiki_chunk_citation,success,qwen3.7-plus,8563,512,0,8051,15421
baseline_4,优化前,2026-09-03 00:48:10.036987,wiki_chunk_citation,success,qwen3.7-plus,7481,512,0,6969,15429
baseline_4,优化前,2026-09-03 00:48:13.050325,wiki_chunk_citation,success,qwen3.7-plus,8010,0,0,8010,18441
baseline_4,优化前,2026-09-03 00:48:19.989384,wiki_chunk_citation,success,qwen3.7-plus,7559,1152,0,6407,9952
baseline_4,优化前,2026-09-03 00:48:20.286212,wiki_chunk_citation,success,qwen3.7-plus,7375,1152,0,6223,11436
baseline_4,优化前,2026-09-03 00:48:20.760577,wiki_chunk_citation,success,qwen3.7-plus,8077,1152,0,6925,10716
baseline_4,优化前,2026-09-03 00:48:22.273731,wiki_summary,success,qwen3.7-plus,17179,14336,0,2843,27667
baseline_4,优化前,2026-09-03 00:48:24.378273,wiki_chunk_citation,success,qwen3.7-plus,7795,1152,0,6643,11320
baseline_4,优化前,2026-09-03 00:48:31.122135,wiki_chunk_citation,success,qwen3.7-plus,7127,1152,0,5975,11118
baseline_4,优化前,2026-09-03 00:48:40.714372,wiki_taxonomy_plan,success,qwen3.7-plus,1281,0,0,1281,9614
baseline_4,优化前,2026-09-03 00:48:47.311324,wiki_page_modify,success,qwen3.7-plus,6900,512,0,6388,6551
